age,daily_screen_time_hours,social_media_hours,gaming_hours,work_study_hours,sleep_hours,notifications_per_day,app_opens_per_day,risk_level,stress_level_ord,gender_Male,gender_Other,reward_app_share
35,4.33,1.2,1.23,5.44,8.08,240,25,Low,0,0,0,0.561200794179955
35,10.96,2.74,2.48,1.35,8.68,241,56,Moderate,0,1,0,0.4762773288068131
28,10.04,2.76,2.68,4.54,5.62,60,42,Moderate,0,1,0,0.5418326153553172
32,6.15,5.01,3.49,1.73,7.47,122,99,High,0,0,1,1.3821135964042932
34,6.6,5.9,2.14,5.67,5.02,86,60,Moderate,1,0,1,1.2181816336088436
31,6.11,4.83,1.75,5.91,5.02,250,162,Moderate,0,0,1,1.076922900667283
35,9.18,5.67,2.95,1.58,6.44,190,99,High,2,0,1,0.9389977190634295
27,9.0,2.29,2.79,3.55,5.36,190,112,High,0,0,1,0.5644443817284021
18,5.73,1.66,3.14,3.84,5.95,133,128,Low,2,0,1,0.8376961888837365
20,5.55,4.15,2.48,1.01,8.78,80,94,Moderate,0,1,0,1.1945943793523641
25,11.86,3.86,3.07,3.0,8.49,167,64,High,1,1,0,0.5843169827725985
22,8.9,0.53,3.0,4.74,4.98,128,71,Moderate,2,0,1,0.39662916891807093
25,11.26,1.17,0.53,3.06,6.89,163,167,High,1,1,0,0.15097689600560427
33,7.05,4.63,3.36,2.03,8.0,144,175,High,1,1,0,1.133333172576855
26,6.02,5.41,0.32,1.33,6.22,59,69,High,1,0,0,0.9518270844141057
19,4.86,2.81,3.62,3.71,7.63,239,162,Low,0,0,0,1.3230449952582313
31,7.84,4.54,3.2,5.44,6.7,89,126,High,1,0,1,0.9872447720351056
23,10.56,5.56,3.92,3.44,8.58,171,159,Moderate,0,0,0,0.8977271877152285
23,3.45,2.59,0.85,2.3,7.93,117,86,Low,1,0,0,0.9971011602605332
18,9.74,0.79,3.81,1.73,4.81,186,25,Moderate,0,0,1,0.472279212291662
22,5.15,3.1,0.46,5.71,6.59,85,109,Low,2,0,0,0.6912620016966986
21,8.21,5.61,2.3,5.49,6.19,203,65,Moderate,2,0,1,0.9634590787504167
27,10.65,3.8,0.48,5.91,8.02,108,151,High,1,1,0,0.40187789653728667
31,10.4,1.08,3.84,4.0,8.23,201,54,High,2,0,0,0.47307687758876177
31,10.43,3.76,1.29,1.85,8.71,91,130,High,1,1,0,0.484180202859041
33,10.66,1.5,0.85,4.89,6.03,245,167,Moderate,1,1,0,0.22045026074575416
25,9.48,3.19,3.03,4.3,7.41,145,129,Moderate,0,0,0,0.6561180742491483
25,5.76,3.7,1.89,3.42,6.41,210,155,Low,2,0,0,0.9704859426239683
26,5.07,4.47,1.26,4.59,8.78,196,62,High,2,0,1,1.130177291878246
34,8.37,5.89,3.33,2.13,6.12,97,18,Moderate,0,1,0,1.101553034462003
35,5.63,5.69,2.55,4.64,4.96,23,161,High,1,1,0,1.4635876618849624
19,5.27,5.24,0.46,0.86,6.71,167,176,High,0,1,0,1.0815937226577377
25,4.07,4.7,2.43,4.85,5.52,153,112,High,1,0,0,1.751842321414663
19,8.49,4.57,3.79,1.64,5.45,189,35,Moderate,0,1,0,0.9846877520980268
31,7.05,3.77,1.17,1.77,7.68,199,131,Low,0,0,0,0.7007091204667913
21,7.9,4.06,3.63,5.05,4.82,62,93,High,2,1,0,0.9734175983015697
32,9.2,4.35,3.77,3.25,6.72,40,168,High,1,1,0,0.8826085997164566
20,5.06,4.21,3.44,3.73,4.59,215,83,High,0,0,0,1.5118574087238323
23,11.97,2.9,3.26,5.83,6.62,124,100,High,0,0,0,0.5146198400484678
33,5.59,5.7,3.25,3.53,6.55,100,79,High,1,0,0,1.6010730588420288
19,4.69,2.49,3.03,3.94,7.92,72,83,Low,1,1,0,1.1769720304963684
18,11.76,3.85,0.96,1.37,6.98,161,119,Moderate,0,0,1,0.4090135706621114
22,7.49,4.44,2.04,2.0,8.26,140,77,Moderate,0,0,1,0.8651534225429343
34,9.72,1.25,0.28,4.75,8.34,107,144,High,0,0,1,0.15740739121323136
33,10.79,2.96,1.94,2.33,7.93,116,131,High,0,1,0,0.45412414697644615
31,3.39,4.6,2.82,4.96,6.24,189,53,High,0,1,0,2.188789914811234
32,3.9,5.51,0.06,1.29,8.42,59,34,High,1,0,1,1.4282047619987788
20,10.67,5.19,3.44,2.59,5.92,203,139,Moderate,0,0,1,0.8088096711518585
27,11.98,4.61,1.74,1.04,7.35,243,40,Moderate,2,1,0,0.5300500392278766
28,10.17,2.11,1.5,1.3,6.89,164,61,Moderate,0,0,0,0.35496555015088005
22,5.09,4.01,1.84,4.17,8.55,139,88,High,0,0,0,1.149312151412151
27,8.75,2.83,1.0,5.15,5.4,118,138,High,1,0,1,0.43771423568980167
27,3.2,5.07,1.58,0.54,8.39,219,27,High,2,1,0,2.0781243505861404
29,4.97,1.55,1.0,4.66,7.95,194,50,Low,2,0,0,0.5130783675898657
19,8.22,4.53,0.36,2.12,7.86,64,66,High,2,1,0,0.5948904385778057
26,11.23,5.69,3.87,2.12,8.42,225,44,Moderate,0,0,1,0.8512911085226084
30,11.71,4.93,1.46,4.85,4.56,157,46,High,2,0,1,0.5456874000266951
29,3.98,1.79,0.1,5.36,7.03,176,71,Low,2,0,1,0.47487425254415766
31,4.05,0.75,0.15,5.98,5.02,80,152,Low,1,0,1,0.2222221673525513
22,10.97,4.1,3.33,3.89,8.73,91,23,High,0,1,0,0.6773016702550892
29,3.89,4.27,2.18,5.88,6.11,121,85,Moderate,0,0,1,1.6580972601292387
24,8.78,3.78,0.09,4.83,5.6,52,159,Moderate,2,1,0,0.44077443726942633
28,9.97,4.84,2.38,2.03,8.93,53,153,Moderate,0,1,0,0.724172444917508
18,6.22,4.84,2.36,0.59,5.69,52,122,High,2,0,0,1.1575560839941985
29,7.62,1.1,2.02,5.7,4.7,220,148,Low,2,0,0,0.40944876516420403
30,6.84,1.09,2.85,2.94,8.55,102,170,Moderate,0,0,0,0.5760233075989317
34,5.65,3.28,1.72,4.86,5.01,187,156,Low,0,1,0,0.8849555955830803
31,6.05,2.99,1.66,1.02,6.42,190,80,Low,0,1,0,0.7685949142818325
20,3.84,1.03,2.96,4.96,7.0,170,158,Low,2,0,0,1.0390622294108778
31,10.81,4.47,3.87,3.8,6.08,167,144,Moderate,2,1,0,0.7715077917199082
29,10.61,2.52,3.05,3.66,8.13,236,158,High,2,1,0,0.5249763878438843
23,5.46,4.69,3.69,2.43,5.32,56,159,Moderate,0,1,0,1.5347982536999536
34,4.94,2.81,1.36,2.54,7.75,218,160,Low,0,0,1,0.8441293837794769
19,9.07,2.0,2.65,3.17,6.49,89,70,High,0,1,0,0.512679105548059
27,9.1,3.76,2.11,2.2,5.49,173,29,Moderate,1,0,0,0.645054874169794
27,5.95,0.54,2.99,1.47,6.21,200,73,Low,2,0,0,0.5932772112139141
19,6.93,3.03,0.31,2.22,6.43,123,178,Low,0,0,0,0.4819624124152363
23,10.21,3.9,3.33,5.56,4.9,236,42,Moderate,2,0,0,0.7081292156582552
27,9.71,1.72,3.12,0.92,7.35,155,145,Moderate,1,1,0,0.49845514948968594
21,4.32,1.58,2.41,4.68,7.45,65,175,Low,2,0,1,0.9236108973122923
28,4.36,0.88,1.77,2.17,5.74,34,105,Low,1,1,0,0.6077980257343977
19,6.32,2.08,2.58,5.88,4.91,172,144,Moderate,2,0,1,0.7373416554839153
24,5.89,3.12,0.6,0.84,4.97,250,102,Low,0,1,0,0.631578840139416
32,11.92,3.38,2.44,2.5,8.63,119,119,High,2,1,0,0.4882549925960577
28,3.85,4.23,1.14,4.48,7.45,174,53,High,2,0,0,1.3948048325182252
30,4.16,4.4,0.34,3.57,7.4,104,47,High,2,0,1,1.1394228030233646
29,3.16,2.2,3.8,2.38,7.95,69,72,Low,0,1,0,1.8987335763501338
34,9.94,5.09,3.53,0.71,6.02,216,173,Moderate,1,1,0,0.8672031320721195
23,9.49,0.74,1.46,4.46,8.86,176,87,Moderate,1,0,0,0.23182294712086968
33,11.14,1.57,2.71,3.64,6.48,216,87,Moderate,2,1,0,0.384201042710858
22,10.86,0.79,1.92,2.54,8.7,202,147,Moderate,1,0,0,0.24953957186560113
32,11.15,1.31,1.75,5.71,5.5,135,104,High,1,0,1,0.27443943727000564
29,5.12,5.97,1.5,0.66,8.69,234,100,High,0,0,0,1.4589840900421698
22,9.83,3.08,2.46,5.48,4.59,75,53,Moderate,2,0,0,0.5635808175401
25,5.71,0.76,1.68,4.87,6.56,48,142,Low,0,0,0,0.4273204155305752
31,3.01,2.44,2.28,1.53,7.51,154,107,Low,2,0,0,1.5681057913269796
19,8.72,5.9,1.01,0.59,8.05,108,76,High,2,1,0,0.7924311017854241
19,6.17,2.36,2.57,5.07,7.58,198,137,Moderate,0,1,0,0.7990274231722166
27,4.81,4.85,3.54,2.24,5.9,121,154,High,0,0,0,1.7442823816460746
19,10.79,2.33,0.5,2.52,8.5,210,127,Moderate,1,0,0,0.2622798644782332
33,6.31,4.89,1.07,0.95,6.41,130,169,High,0,1,0,0.9445323384259369
20,5.95,2.13,1.78,4.45,5.25,133,104,Low,2,0,0,0.657142746698698
19,3.68,4.01,1.45,4.91,7.56,27,51,Moderate,2,1,0,1.4836952489958561
20,5.12,4.05,1.45,5.72,4.65,59,130,Moderate,1,0,1,1.0742185401916913
22,7.77,2.69,2.6,1.87,5.01,208,62,Moderate,1,0,0,0.6808235932015968
32,4.93,3.87,2.78,5.99,5.4,54,33,Low,2,0,1,1.3488841077314184
28,9.01,4.4,2.2,2.1,5.85,60,178,Moderate,1,1,0,0.7325193415627813
22,5.13,3.22,1.44,3.65,6.6,161,48,Low,0,0,0,0.9083818892043101
33,7.73,4.73,3.29,0.91,8.88,184,33,Moderate,2,0,1,1.0375160365438503
23,9.91,1.21,2.01,5.28,8.24,152,54,Moderate,0,0,0,0.3249242860823122
34,11.05,5.15,1.0,3.99,6.98,52,175,Moderate,2,0,1,0.5565610356053362
22,4.54,3.93,3.61,2.36,8.66,30,22,Low,2,0,1,1.6607925857285053
31,8.56,0.67,3.56,3.5,7.39,97,138,High,2,0,0,0.4941588207758388
20,9.2,1.37,1.66,3.05,6.03,56,95,High,1,1,0,0.32934779028828376
29,7.63,1.08,0.97,1.17,6.52,56,39,Low,1,1,0,0.26867624263745177
28,11.4,4.47,0.76,1.38,8.98,139,142,Moderate,1,0,0,0.4587718895814132
34,7.12,1.82,2.33,0.77,5.77,172,135,Moderate,0,1,0,0.5828650866762519
26,9.55,4.7,1.46,2.7,7.07,69,107,High,0,0,1,0.6450261104684701
26,10.43,3.93,2.44,1.21,4.94,115,101,Moderate,1,0,1,0.6107381964776418
34,6.61,0.72,0.16,4.42,8.12,152,131,Moderate,2,0,1,0.1331315986185176
28,4.46,5.95,2.96,2.15,6.01,232,145,High,2,1,0,1.997757399605964
29,5.98,1.1,1.67,2.19,8.54,243,176,Low,1,0,1,0.4632106248811664
19,8.25,1.44,2.52,3.91,8.29,57,77,Moderate,2,1,0,0.4799999418181889
32,5.82,1.33,2.76,2.76,7.99,140,30,Low,2,0,1,0.7027490201462164
33,7.73,2.23,0.69,5.52,6.04,110,179,Low,1,1,0,0.3777489808862896
26,8.02,1.74,3.89,2.14,5.8,73,140,High,1,1,0,0.7019949249382887
35,6.42,5.89,3.27,5.75,8.12,94,25,High,2,0,0,1.4267910550169696
26,9.73,1.68,3.31,1.99,7.03,89,50,Moderate,2,1,0,0.5128468126570593
34,5.03,1.78,0.4,2.32,6.63,194,50,Low,2,0,1,0.4333995162227602
33,7.3,1.6,3.86,2.27,7.41,216,37,Low,0,0,0,0.7479451030212187
23,11.41,0.7,3.34,4.83,5.34,211,89,Moderate,0,0,0,0.3540753414482611
27,7.09,4.03,2.1,5.39,5.1,149,134,Moderate,0,0,1,0.8645979034417627
32,8.83,4.45,0.06,2.35,5.83,192,64,High,2,0,1,0.5107587190533727
28,3.78,4.18,0.74,1.27,5.96,83,16,High,0,0,0,1.3015869572521277
27,8.24,3.65,1.05,2.48,5.56,190,45,High,0,0,1,0.5703882802926845
21,8.75,5.67,1.47,1.71,8.81,142,54,High,2,0,1,0.8159999067428678
35,11.22,4.67,3.21,5.04,7.93,194,167,High,0,1,0,0.7023172279574663
21,3.56,3.51,2.02,3.65,5.17,103,148,Low,2,1,0,1.5533703501768676
34,7.01,0.81,0.53,2.78,7.04,163,133,Moderate,1,0,0,0.19115546488509774
18,9.71,3.68,0.18,2.39,4.79,35,32,High,1,0,0,0.397528280378138
23,9.92,4.71,3.91,4.05,6.39,248,112,Moderate,1,0,1,0.8689515253073061
35,4.2,5.23,0.47,5.96,6.27,52,72,High,0,0,1,1.3571425340136822
35,6.82,2.59,0.92,3.03,5.2,68,43,Low,2,1,0,0.5146626811345042
24,3.61,3.77,1.79,4.2,8.42,82,26,Low,0,1,0,1.5401657783474298
34,11.94,1.79,3.67,3.67,7.1,217,97,High,0,0,0,0.4572863938621111
26,3.55,5.72,3.52,5.51,7.32,129,157,High,1,0,1,2.602816168220798
31,6.67,2.15,0.74,3.46,5.58,77,91,Low,0,0,1,0.43328329336082555
31,11.71,3.57,0.54,1.84,5.42,185,35,Moderate,1,1,0,0.3509820366368884
26,6.39,3.83,0.16,0.9,8.12,170,158,Moderate,0,1,0,0.6244130478226843
24,11.43,5.79,0.47,6.0,6.66,82,169,High,1,0,0,0.547681491891383
30,7.2,4.07,1.23,2.48,8.47,139,40,High,2,1,0,0.736111008873471
29,5.82,0.75,3.46,4.58,4.57,161,164,Low,1,1,0,0.7233675733045406
28,5.07,3.63,0.98,3.53,8.75,106,80,Low,1,1,0,0.9092700376193218
29,4.52,4.46,1.95,5.54,6.94,184,30,Moderate,0,0,0,1.4181412791722834
22,10.58,1.77,2.83,0.55,6.78,115,30,High,2,1,0,0.4347825676008915
18,7.79,2.76,0.07,4.47,6.91,93,19,Low,2,1,0,0.3632862178066472
21,7.72,1.83,2.48,1.89,6.09,223,116,Low,1,0,1,0.5582900831230463
25,5.7,5.05,0.32,5.95,7.42,28,38,Moderate,1,0,1,0.9421050978762986
18,9.33,0.95,3.38,4.05,5.99,239,39,Moderate,0,0,1,0.4640942696576346
33,5.44,5.58,2.74,2.04,6.94,188,23,Moderate,1,0,1,1.5294114835640655
22,9.77,4.42,1.59,0.92,5.23,81,160,High,1,0,1,0.6151483505477635
22,10.11,4.29,0.31,4.6,6.06,45,126,High,0,0,0,0.45499500939713067
18,8.71,4.81,1.8,1.75,6.99,116,125,Moderate,2,0,1,0.7588977314698355
27,10.18,4.42,0.33,1.35,7.7,182,54,Moderate,1,1,0,0.4666011329468436
18,11.49,2.95,3.05,1.06,4.89,130,129,Moderate,2,1,0,0.5221931660406296
20,6.19,1.01,2.39,2.28,6.23,94,120,Low,0,0,1,0.5492729322660853
30,4.53,1.98,1.07,1.3,5.25,90,122,Low,0,1,0,0.673289034594032
33,8.34,1.58,0.43,2.18,8.77,105,173,High,1,0,0,0.24100716534686273
22,5.7,3.82,2.78,3.13,5.3,121,96,Low,2,0,0,1.1578945337027133
30,5.52,4.82,1.46,5.63,5.4,159,61,High,2,0,1,1.137680953318668
24,6.95,2.1,2.77,5.0,8.08,124,142,Moderate,1,0,1,0.7007193236375073
22,9.44,4.84,0.3,5.95,6.66,122,151,Moderate,2,0,0,0.5444914677445479
35,8.34,5.53,0.44,1.87,7.49,62,180,High,2,0,0,0.7158272522988908
21,3.09,1.92,2.04,3.35,7.11,167,71,Low,1,0,0,1.2815529833161867
18,7.34,2.12,3.68,0.97,8.24,206,51,Low,1,0,1,0.7901906280394241
33,6.13,1.04,2.89,2.99,4.8,31,44,Low,1,0,1,0.641109193946298
25,7.64,3.54,1.32,2.85,6.58,224,118,Moderate,0,1,0,0.6361255711877525
24,7.05,2.86,0.02,1.68,5.75,200,31,Moderate,2,0,0,0.40851058035310917
24,7.12,1.94,3.45,3.4,7.38,172,114,Moderate,2,0,0,0.7570223655867465
32,8.56,4.98,2.82,2.14,7.27,41,49,Moderate,0,1,0,0.9112148468206955
29,9.24,3.31,1.67,1.26,6.23,67,139,Moderate,2,0,0,0.5389609806319285
27,4.26,2.23,1.8,0.79,6.12,22,139,Low,1,0,1,0.9460091676034819
33,6.74,5.12,1.95,0.95,4.64,214,71,High,1,1,0,1.0489612687001084
32,8.09,4.75,1.98,3.31,7.08,88,154,High,1,0,1,0.8318911209034463
24,11.91,1.06,3.32,4.63,5.84,28,130,Moderate,0,1,0,0.3677581555198862
24,10.3,3.73,1.4,4.41,7.35,62,172,Moderate,0,0,1,0.498058204072019
29,7.79,3.78,0.67,5.88,5.82,166,83,Low,2,0,0,0.5712451128055054
19,11.93,5.27,0.51,5.26,5.62,202,97,High,2,1,0,0.48449283449347574
26,8.65,2.56,0.3,4.87,7.96,123,146,High,2,0,0,0.3306357999264971
28,8.24,5.28,3.39,1.01,8.87,182,106,Moderate,2,0,0,1.0521843383271434
24,7.45,2.28,1.13,3.51,5.09,238,139,Low,2,1,0,0.4577180593667034
32,3.15,5.61,0.63,3.01,8.96,129,66,Moderate,0,0,0,1.980951752078809
20,8.89,1.88,1.49,5.47,5.24,121,175,High,2,0,1,0.37907757265719094
20,9.33,0.51,1.91,1.23,5.52,194,128,Moderate,2,0,0,0.25937832161004054
22,7.3,1.76,0.36,4.93,4.96,114,91,Low,0,0,1,0.2904109191217919
18,8.49,1.4,1.4,1.67,7.87,125,172,Moderate,0,1,0,0.3297997255830712
21,8.31,2.61,3.85,2.23,5.13,90,180,Moderate,2,0,1,0.7773765610858531
27,4.85,3.84,0.75,2.65,7.41,220,76,Low,0,0,1,0.9463915574450397
20,7.75,5.88,3.95,5.64,5.09,240,160,High,2,1,0,1.2683869331113635
18,8.29,0.58,0.86,5.57,8.77,121,144,High,2,0,1,0.17370323598272186
30,3.74,3.45,2.46,2.03,5.89,150,67,Low,0,0,1,1.5802134812263418
20,5.79,2.91,3.81,1.81,5.6,131,44,Low,2,0,1,1.1606215612052573
23,4.07,4.39,2.81,1.4,8.79,153,147,Moderate,2,0,0,1.7690413343878781
22,9.75,5.3,2.93,1.15,8.55,105,124,Moderate,0,0,0,0.8441024775279511
32,7.6,0.8,3.44,1.42,5.21,217,41,Low,2,0,1,0.5578946634349128
34,3.02,5.22,0.05,0.75,6.14,58,60,Moderate,0,0,0,1.7450325347574387
25,6.75,4.46,1.09,0.93,6.18,148,28,High,2,1,0,0.8222221004115406
32,10.79,4.75,1.24,0.98,6.56,114,66,High,1,0,0,0.5551436000793699
33,11.98,4.77,2.93,3.51,8.08,58,16,High,0,0,1,0.6427378428432519
18,11.56,0.51,2.63,5.17,7.77,46,67,High,0,1,0,0.2716262740807721
22,9.4,1.01,3.69,5.44,6.84,199,110,Moderate,2,0,1,0.49999994680851634
22,8.73,2.67,2.37,0.84,7.48,53,75,High,1,0,0,0.5773195214983367
32,5.45,0.91,0.81,4.79,7.13,59,42,Low,1,1,0,0.31559627236765647
35,6.22,4.74,1.81,3.05,8.34,43,55,Moderate,1,0,0,1.0530544930780559
22,3.82,1.87,1.42,3.32,7.55,86,59,Low,1,1,0,0.8612563190428484
32,3.92,4.87,0.49,0.84,8.01,76,48,Moderate,1,0,1,1.3673465899626047
26,11.26,0.91,3.99,1.59,7.41,227,47,Moderate,1,0,0,0.43516870025144766
19,4.51,3.66,3.29,2.67,4.63,194,124,Low,0,0,0,1.5410196139646088
32,10.95,0.69,2.48,1.85,5.83,125,155,High,0,1,0,0.28949769045683194
31,4.8,5.37,2.1,3.97,8.11,223,19,High,2,0,1,1.5562496757813178
33,6.1,3.61,1.29,1.99,4.62,172,71,Moderate,1,0,1,0.8032785568395809
29,9.9,6.0,3.9,1.05,7.46,88,151,Moderate,2,0,1,0.9999998989899093
30,6.19,5.12,3.38,1.47,7.17,226,106,Moderate,0,0,1,1.3731823306652131
24,10.53,4.96,3.88,3.48,5.29,29,38,Moderate,2,0,1,0.8395060931143312
33,3.01,5.55,0.81,1.22,7.73,225,97,Moderate,0,0,1,2.1129561086524555
29,11.65,2.55,3.77,2.68,4.95,97,97,High,0,0,1,0.5424892238206676
28,4.57,5.83,2.77,5.61,8.04,77,165,High,1,1,0,1.881837662617579
23,9.56,5.72,3.79,2.65,8.97,165,23,Moderate,1,0,0,0.9947697704215721
22,5.98,0.93,1.39,2.26,7.36,42,178,Low,1,0,0,0.38795980134451474
24,5.25,0.87,1.03,1.09,4.51,118,127,Low,0,0,0,0.3619046929705346
29,7.91,1.06,1.92,5.25,7.43,195,72,Moderate,0,1,0,0.37673825831374735
28,5.35,1.08,1.37,5.38,5.22,39,155,Low,0,0,1,0.4579438396366655
18,6.88,4.09,2.43,2.89,4.74,104,67,High,1,0,0,0.9476742808612963
25,3.86,2.66,2.2,3.2,4.75,20,124,Low,2,1,0,1.2590670313297847
18,4.86,4.01,3.91,3.1,5.02,220,116,Moderate,2,0,1,1.62962929431496
35,6.49,2.54,1.53,1.53,4.7,132,134,Low,1,0,1,0.6271185474393609
21,3.77,2.39,2.17,5.84,7.15,161,30,Low,2,0,1,1.2095487507828249
25,7.29,0.93,3.61,4.43,6.76,250,147,Low,2,0,0,0.6227708336391174
23,11.54,1.42,0.85,1.56,4.69,40,126,High,2,0,0,0.19670708867356254
20,3.78,3.56,2.21,5.21,6.84,243,18,Low,2,0,0,1.526454622631052
22,4.33,3.73,3.03,5.67,8.66,164,40,Low,2,0,0,1.561200563233126
30,8.89,3.65,1.89,1.45,6.31,178,170,High,1,0,0,0.6231720333889726
25,3.44,3.11,1.07,2.55,6.02,223,92,Low,1,1,0,1.2151159258383935
27,11.77,2.94,3.3,1.98,6.38,185,37,High,0,0,1,0.5301613823142411
29,10.39,3.33,0.64,2.21,6.78,54,149,Moderate,0,1,0,0.3820981345430092
19,5.25,3.01,3.67,4.38,5.73,230,133,Low,2,1,0,1.2723807100227218
29,7.4,2.95,3.84,3.11,6.98,108,56,Moderate,1,1,0,0.9175674435719671
30,3.45,5.2,3.12,1.68,5.5,77,67,Moderate,1,0,0,2.411593503885941
22,8.83,3.81,0.03,1.89,8.12,98,179,High,1,0,0,0.43488103795231736
24,7.2,4.22,3.3,2.68,4.96,150,110,High,2,0,1,1.044444299382736
21,7.34,2.35,1.11,2.29,5.75,187,91,Low,2,0,1,0.4713895815545529
30,8.94,4.24,2.89,4.1,8.99,86,122,Moderate,2,0,0,0.7975390606779577
25,9.18,4.01,1.9,5.67,6.11,96,58,High,2,1,0,0.6437907795434882
33,4.15,1.92,3.23,4.7,5.32,194,100,Low,0,0,1,1.2409635563943238
27,6.78,5.38,1.49,3.72,6.59,50,135,High,2,1,0,1.0132741868327158
34,4.08,4.24,2.12,2.77,8.42,58,50,High,1,1,0,1.5588231473472678
28,10.76,1.49,0.32,2.33,8.94,100,177,Moderate,1,1,0,0.16821559774947978
23,7.41,4.7,0.35,3.88,7.35,123,124,Moderate,1,0,1,0.6815113790133092
24,9.58,5.73,3.57,4.66,6.89,24,16,High,0,0,0,0.9707723412554968
22,3.92,3.27,1.22,0.86,4.71,94,131,Low,2,0,1,1.1454078710694207
22,6.08,5.46,1.44,1.54,8.77,227,118,Moderate,0,0,1,1.134868234396672
18,8.31,1.43,1.47,4.08,4.67,244,178,Moderate,2,0,1,0.34897709398590926
21,8.88,0.61,2.76,2.79,6.21,160,79,Moderate,0,0,0,0.3795044617675155
31,8.95,4.14,1.08,3.83,5.12,232,41,High,2,1,0,0.5832401582971891
21,7.48,3.85,3.11,5.07,8.88,111,119,Low,0,0,1,0.9304811590265829
33,5.98,0.52,2.69,5.49,8.26,191,141,Low,0,0,0,0.5367892078947812
25,7.11,5.88,1.06,0.78,8.16,243,25,High,1,0,1,0.9760898767806079
21,3.85,4.67,0.18,5.19,7.49,63,99,Moderate,1,0,0,1.2597399325350822
28,4.65,2.7,3.85,2.0,6.24,237,137,Low,2,1,0,1.408601847612506
19,11.83,5.14,0.41,5.51,6.67,165,127,Moderate,1,0,1,0.4691461987196789
22,7.35,3.18,3.55,2.92,4.79,187,95,Moderate,2,0,1,0.9156461339256962
34,9.19,3.9,1.73,4.5,6.67,189,179,Moderate,2,0,1,0.6126223490073615
23,7.55,3.08,1.98,1.41,7.88,102,76,Low,1,0,1,0.6701985867286641
30,6.63,1.79,1.84,4.91,6.52,239,142,Low,0,1,0,0.5475112296363153
30,6.71,3.56,0.0,1.0,7.22,178,178,Moderate,2,0,0,0.5305513367285638
29,10.43,4.99,3.38,2.33,7.95,173,136,Moderate,1,1,0,0.8024927322634007
25,3.02,2.45,2.53,4.9,6.96,115,42,Low,0,0,1,1.6490060764880543
31,3.96,3.86,0.75,5.62,6.27,137,63,Low,0,0,1,1.1641411201663836
21,9.95,2.98,2.63,5.76,5.11,147,16,High,0,0,1,0.5638190388121569
23,9.23,1.46,3.26,1.07,7.46,175,97,Moderate,1,0,0,0.5113758925919943
30,11.67,5.84,1.81,1.23,6.36,199,146,Moderate,2,1,0,0.6555269361159438
24,8.62,2.1,1.38,4.2,8.92,186,60,Moderate,2,0,0,0.403712250149391
35,7.32,3.64,2.67,2.8,7.87,235,151,Low,1,1,0,0.8620217401609644
30,4.31,4.19,0.8,4.63,5.22,93,79,Moderate,0,0,1,1.157772353185069
19,6.23,2.99,2.46,4.22,7.03,77,180,Low,0,0,0,0.8747992175282154
