Age,Income_USD,Daily_Screen_Time_Hours,Phone_Unlocks_Per_Day,Social_Media_Usage_Hours,Gaming_Usage_Hours,Streaming_Usage_Hours,Messaging_Usage_Hours,Work_Related_Usage_Hours,Sleep_Hours,Physical_Activity_Hours,Stress_Level,Time_Spent_With_Family_Hours,Online_Shopping_Hours,Has_Screen_Time_Management_App,Monthly_Data_Usage_GB,Has_Night_Mode_On,Age_First_Phone,Push_Notifications_Per_Day,Tech_Savviness_Score,risk_level,Education_Level_ord,Gender_Male,Gender_Other,Urban_Urban,reward_app_share
34,48243.73,5.45,109.0,2.15,2.12,2.05,1.98,2.28,6.73,0.95,95.95,1.59,0.77,1,22.1,1,17.0,63.0,58.83,Low,-1,1,0,1,1.1596328147462724
32,10927.61,7.23,77.0,2.07,0.66,3.28,0.66,2.61,6.71,0.83,34.39,0.03,0.66,1,13.82,0,14.0,68.0,44.07,High,3,1,0,0,0.8312585295631355
27,52830.16,4.56,98.0,1.34,3.93,3.21,1.65,1.86,6.23,1.18,42.98,0.32,1.01,1,30.48,1,8.0,82.0,55.6,High,2,0,0,1,1.859648714989317
25,31163.24,6.53,75.0,1.52,1.61,2.085,1.34,1.96,7.56,1.76,2.16,0.98,0.44,1,11.21,1,19.0,116.0,76.07,High,0,1,0,1,0.7986216234882658
31,38344.74,8.83,120.0,0.99,1.03,2.06,1.14,2.06,6.1,0.43,70.19,0.93,1.13,1,24.13,0,13.0,126.0,7.09,High,0,1,0,0,0.4620611028243372
34,28172.69,9.2,30.0,2.71,0.24,1.65,1.88,2.37,8.51,0.65,59.98,-0.0,0.76,0,8.5,0,11.0,152.0,43.01,High,0,1,0,1,0.49999994565217987
21,50990.32,5.63,60.0,2.02,1.09,3.39,2.25,2.62,7.06,1.03,62.79,1.44,0.88,0,25.95,0,14.0,84.0,53.32,Moderate,3,0,0,0,1.1545291022150794
25,24001.72,5.09,64.0,4.05,2.61,2.085,1.62,1.15,4.94,0.5,30.55,2.63,1.9,0,21.62,0,20.0,107.0,90.12,High,0,0,0,0,1.7180743186494465
25,59738.4,3.2,69.0,3.31,1.78,2.24,1.15,1.74,6.94,0.33,49.47,1.45,1.46,0,32.37,1,18.0,67.0,23.12,Low,0,0,1,0,2.290624284179911
23,40365.08,5.22,74.0,2.7,0.41,2.085,0.76,0.17,6.56,0.06,14.5,1.64,1.43,1,12.46,1,18.0,99.0,5.36,High,0,0,0,0,0.9952105373159891
29,35015.0,3.71,89.0,3.17,3.63,1.5,1.45,0.29,5.45,0.58,35.29,2.03,0.72,1,19.58,0,8.0,107.0,72.55,Low,-1,1,0,0,2.237196162480819
29,31616.51,7.7,122.0,3.59,1.33,1.7,1.84,0.56,6.25,0.88,56.5,1.87,0.82,0,13.8,1,16.0,139.0,65.71,Moderate,2,1,0,1,0.859740148085695
26,41868.24,5.68,87.0,1.92,0.56,4.27,0.96,2.32,5.51,1.12,19.54,1.19,1.11,1,12.84,1,14.0,89.0,47.55,High,0,0,0,1,1.1883800724682971
31,19853.02,7.48,57.0,0.78,2.53,3.32,1.96,2.19,6.41,1.88,71.97,1.48,0.63,1,17.64,0,20.0,126.0,3.5,High,0,0,0,1,0.8863635178658397
34,37654.04,6.09,80.0,3.49,1.53,2.42,1.77,0.62,5.37,0.66,66.08,0.47,1.25,0,13.4,1,12.0,80.0,4.15,Moderate,-1,1,0,0,1.2216746762438957
29,31348.015,6.85,81.0,2.78,0.16,1.19,1.81,1.59,7.63,0.98,10.32,0.05,0.53,1,13.82,0,18.0,85.0,74.49,Moderate,0,0,0,1,0.6029196200117343
33,11015.03,7.67,51.0,1.63,1.11,0.96,2.63,0.91,6.67,0.6,14.66,2.26,1.8,1,5.42,0,9.0,109.0,5.29,High,2,1,0,0,0.48239889408097864
30,51452.01,6.64,102.0,3.78,0.92,1.65,1.59,2.62,6.44,0.64,26.99,0.65,0.81,0,29.19,0,12.0,159.0,75.97,Low,-1,0,1,0,0.9563251571799462
22,31211.77,5.51,1.0,2.22,1.16,1.56,0.64,3.46,6.65,0.98,35.96,2.73,0.12,0,10.7,0,16.0,114.0,56.04,High,3,0,1,1,0.896551561424399
25,33764.87,7.53,66.0,1.04,2.06,1.68,1.67,4.12,7.74,0.57,91.08,3.61,0.01,0,40.48,0,18.0,87.0,93.27,High,-1,1,0,1,0.6347940724045057
31,40698.17,5.37,47.0,2.36,1.12,3.24,1.35,1.32,8.74,1.49,68.94,1.37,0.65,1,29.96,1,13.0,76.0,87.66,Low,3,0,1,0,1.2513964150099786
23,25240.61,1.29,99.0,0.36,1.92,1.45,1.77,0.98,7.15,0.35,70.23,1.19,0.7,1,21.07,1,16.0,57.0,72.69,Low,0,0,0,0,2.8914706267669557
27,31369.91,5.3,97.0,1.59,3.11,0.62,1.33,0.86,6.76,0.35,97.11,1.72,0.73,0,24.62,0,17.0,117.0,29.18,High,-1,0,1,1,1.0037733955144537
29,202.0,6.05,125.0,1.4,2.3,3.01,0.71,1.2,4.52,1.83,5.37,1.71,0.31,1,37.08,1,15.0,133.0,1.72,High,-1,1,0,0,1.109090725770128
18,35403.59,6.39,68.0,2.0,2.3,1.42,1.08,0.42,6.67,0.77,95.48,1.07,0.77,0,15.68,1,13.0,100.0,81.47,Low,1,0,0,1,0.8951485297107152
21,771.79,6.67,115.0,1.7,1.44,1.31,1.36,2.09,6.63,0.62,76.13,2.18,0.68,0,29.5,1,16.0,127.0,87.6,High,-1,0,0,1,0.667166316766669
29,28261.03,9.34,122.0,2.48,1.95,3.96,0.61,1.63,7.48,1.17,93.37,0.31,0.81,1,31.25,1,15.0,124.0,64.38,Low,-1,0,0,0,0.8982868417251777
24,9977.65,3.94,68.0,2.47,1.61,1.98,1.32,1.2,8.18,0.5,15.3,1.73,0.81,0,44.17,0,8.0,61.0,74.83,Moderate,3,0,1,1,1.5380706756165798
21,23748.29,1.76,79.0,3.89,1.46,1.11,1.63,2.62,5.3,0.21,24.76,0.9,1.08,1,39.99,0,11.0,149.0,55.98,Low,3,0,0,1,3.0
33,22339.09,8.12,98.0,1.54,0.75,2.57,0.93,3.18,6.29,0.84,65.42,3.37,0.29,1,5.72,1,18.0,79.0,76.61,High,3,1,0,0,0.5985220937780673
31,31112.59,5.73,44.0,0.17,2.59,1.8,2.0,1.96,6.98,0.65,39.39,1.34,0.61,1,28.21,0,20.0,145.0,80.14,High,2,0,0,1,0.7958113794395497
24,15987.94,6.52,82.0,3.89,0.93,1.02,1.43,1.55,5.5,1.03,68.17,2.46,1.64,0,14.05,1,17.0,136.0,2.17,High,3,0,0,1,0.8957053840942663
21,35265.1,5.31,92.0,1.68,2.78,1.37,1.31,2.44,6.04,0.63,82.02,0.26,0.15,0,30.13,1,8.0,56.0,92.27,High,2,0,1,1,1.0979282301453428
19,24577.64,4.81,121.0,0.67,1.61,2.78,1.96,1.46,5.73,2.35,50.53,1.87,1.06,1,8.17,1,9.0,82.0,63.79,High,3,0,0,1,1.0519748332692656
22,18971.2,9.1,66.0,1.74,1.56,1.29,2.16,3.74,6.35,0.25,70.29,2.7,1.51,0,29.05,1,8.0,110.0,45.82,Low,2,0,0,1,0.5043955489675221
26,41267.43,5.87,100.0,1.57,1.15,3.85,2.39,1.2,6.62,1.01,24.83,1.19,1.12,1,24.1,0,18.0,73.0,78.46,Low,1,1,0,0,1.119250235221425
22,20045.99,5.28,80.0,3.21,1.61,0.82,1.01,1.14,6.31,1.58,35.64,0.96,0.22,0,20.03,0,9.0,146.0,73.69,Moderate,1,0,0,0,1.068181615874694
28,32532.36,6.29,87.0,3.38,1.33,1.58,1.11,1.93,7.32,0.21,41.81,0.97,1.45,0,13.04,0,12.0,135.0,80.08,Moderate,3,0,1,0,0.9999998410175134
31,25349.61,6.91,145.0,1.2,1.61,3.13,1.06,1.39,7.4,1.03,68.07,0.23,0.63,0,18.67,0,8.0,112.0,25.86,High,2,0,1,0,0.8596236093164096
24,32378.75,5.77,59.0,2.55,1.97,0.69,1.6,1.47,5.88,0.89,39.24,2.64,1.02,1,19.39,0,16.0,103.0,48.68,High,3,0,1,1,0.9029461173403608
21,58955.14,5.78,95.0,1.67,1.97,1.73,1.39,3.28,7.39,1.67,36.31,1.23,0.84,0,32.05,0,14.0,76.0,48.15,Moderate,2,0,1,0,0.9290655832066463
34,22988.56,9.1,73.0,0.96,1.06,0.98,1.64,0.19,7.43,0.29,28.24,2.1,1.16,1,35.37,0,16.0,90.0,57.28,High,3,0,0,0,0.32967029344282495
26,11803.61,3.57,85.0,0.16,0.01,3.98,1.69,2.88,7.13,1.1,49.75,2.1,1.21,1,21.53,1,11.0,42.0,60.74,High,2,0,1,1,1.1624646603740447
28,37536.79,10.77,85.0,1.22,0.29,2.54,1.46,1.78,4.67,1.02,66.3,0.27,1.3,1,44.84,0,12.0,39.0,13.41,High,0,0,1,0,0.3760445333291984
26,13672.22,8.19,39.0,1.15,1.97,2.17,2.43,1.26,6.95,0.61,81.58,1.1,0.63,1,33.76,1,12.0,119.0,87.39,High,-1,1,0,1,0.645909567044009
25,52585.33,5.07,68.0,2.75,0.91,1.88,1.4,0.7,6.79,0.93,81.65,1.14,0.62,0,19.02,1,12.0,79.0,72.15,Moderate,0,0,1,1,1.0927019541021785
28,7814.94,7.93,59.0,3.28,1.67,2.18,1.68,3.4,5.54,1.27,20.25,1.53,0.43,0,26.35,1,12.0,82.0,65.69,High,3,0,1,0,0.8991171627847209
22,43774.29,6.13,89.0,2.27,1.69,2.92,1.78,2.87,6.12,0.87,29.53,2.26,1.36,1,5.6,0,19.0,94.0,24.46,Moderate,-1,0,0,0,1.1223489196820686
29,19404.44,7.28,103.0,3.38,2.05,2.82,1.61,2.61,4.75,0.17,36.96,2.33,0.11,0,26.14,0,10.0,55.0,40.41,Moderate,0,0,1,0,1.133241602576703
35,36983.68,5.88,103.0,2.45,2.11,2.085,0.83,2.79,7.67,1.17,99.86,1.11,0.49,0,27.92,1,20.0,70.0,33.32,High,2,0,0,1,1.1301018486221346
31,37119.7,6.15,70.0,1.57,0.56,1.23,1.52,1.94,6.58,1.12,80.04,2.36,0.89,0,26.37,1,20.0,139.0,64.82,High,0,0,0,0,0.5463413745786382
18,10427.98,8.88,73.0,2.64,1.78,3.01,1.84,0.78,6.38,1.9,30.1,1.72,0.37,1,14.6,0,9.0,61.0,57.72,Moderate,-1,1,0,0,0.8367116174874304
30,18210.16,7.54,120.0,1.52,2.8,3.79,1.18,2.53,6.86,2.46,8.37,1.2,0.6,0,30.4,0,12.0,93.0,24.12,Moderate,-1,0,0,0,1.0755966743240484
28,29502.45,2.49,62.0,3.67,0.48,1.73,1.82,2.91,8.88,1.12,30.89,1.68,0.67,0,13.38,0,17.0,58.0,23.55,High,-1,0,0,1,2.3614448347611106
23,34731.25,7.83,42.0,3.09,1.61,2.76,1.31,4.11,6.91,1.11,68.24,1.39,0.8,0,35.25,1,19.0,122.0,15.39,Moderate,0,0,0,0,0.952745727618681
35,27182.83,3.52,74.0,0.48,1.28,2.085,1.54,1.93,5.78,1.2,43.48,2.29,0.52,0,31.56,0,15.0,120.0,75.85,Moderate,-1,0,1,1,1.09232923513374
25,28094.65,5.5,89.0,2.02,2.87,2.76,2.23,1.88,6.71,1.43,50.12,1.23,1.13,0,42.69,1,20.0,95.0,2.84,High,2,0,0,0,1.3909088380165748
31,26216.24,2.49,76.0,0.71,2.27,1.02,1.01,2.32,7.69,1.84,63.99,2.59,0.8,1,27.88,1,17.0,98.0,63.61,High,1,1,0,1,1.6064250576606192
20,41700.46,5.94,88.0,2.75,1.61,1.81,1.33,3.4,7.07,0.55,10.3,1.7,1.01,1,31.36,1,15.0,113.0,41.78,High,2,1,0,1,1.0387203638517906
30,32634.17,3.43,98.0,1.85,0.21,2.88,1.01,2.7,6.17,1.22,86.58,1.74,1.49,0,40.63,0,19.0,97.0,40.49,High,0,0,0,0,1.440232816258654
33,30239.94,8.49,86.0,1.83,0.18,2.47,1.97,2.81,4.22,0.95,1.37,0.37,0.46,1,16.63,1,16.0,91.0,73.53,High,0,0,0,0,0.527679560932914
30,37882.47,5.57,88.0,2.93,2.5,0.22,0.89,3.14,4.86,1.72,15.31,2.38,0.37,0,19.46,1,8.0,92.0,57.77,Low,2,1,0,0,1.0143624749798068
18,13546.13,4.52,87.0,2.42,1.59,3.13,1.24,2.32,7.6,0.81,18.5,2.39,0.78,1,15.95,1,20.0,70.0,67.42,High,1,0,0,1,1.5796456682199849
33,16641.3,6.64,104.0,4.84,1.14,1.62,1.85,1.76,6.05,0.39,4.03,2.04,0.81,1,11.19,0,20.0,85.0,8.81,Low,3,1,0,1,1.1445781408767859
25,36665.29,7.64,90.0,3.82,1.62,1.68,1.27,2.95,6.28,0.74,50.12,0.05,0.81,0,21.74,0,18.0,54.0,44.49,Moderate,2,0,0,0,0.9319370507935797
29,22482.97,7.85,70.0,0.67,2.35,1.08,0.67,4.42,6.26,1.01,51.93,0.79,0.7,1,13.26,1,19.0,159.0,10.39,High,0,0,1,1,0.5222929270964424
29,11352.4,6.1,98.0,2.38,2.27,1.41,0.87,3.89,6.29,0.88,5.32,2.69,0.31,1,9.17,0,12.0,178.0,72.02,High,2,0,0,1,0.9934424600914001
24,27488.26,6.3,28.0,2.02,1.11,2.97,1.88,2.15,8.16,1.98,46.92,1.7,0.99,0,20.9,0,15.0,76.0,27.49,High,2,0,1,1,0.9682538145628865
32,53300.18,9.99,51.0,1.51,0.74,2.29,1.3,1.69,5.44,1.12,72.27,1.85,0.81,0,17.19,1,14.0,121.0,29.32,Moderate,2,0,0,0,0.4544544089635226
34,23795.73,4.04,107.0,2.47,1.61,1.42,1.6,1.0,6.32,0.69,12.51,2.73,1.58,1,28.33,1,10.0,105.0,95.87,High,2,0,1,0,1.3613858016371778
19,50275.81,2.99,80.0,2.02,3.32,0.54,1.73,2.0149999999999997,5.7,1.31,75.04,1.75,0.49,0,14.18,1,8.0,56.0,20.23,High,1,0,0,0,1.966554526235944
21,41358.1,4.75,110.0,2.95,1.59,1.78,0.71,2.41,5.63,1.62,11.24,2.25,0.49,0,25.34,0,9.0,150.0,84.65,Moderate,2,0,0,1,1.3305260356787294
27,31307.43,2.62,56.0,2.02,0.41,1.82,2.74,2.39,5.78,1.42,41.57,2.21,0.41,1,27.63,0,11.0,93.0,70.35,Moderate,2,0,1,1,1.6221367854439748
27,23850.44,3.45,88.0,0.44,1.56,1.94,1.82,2.61,7.71,0.33,57.99,1.16,0.81,0,26.51,1,15.0,116.0,7.66,Moderate,0,0,0,0,1.1420286544844478
22,18672.84,8.22,108.0,1.53,1.14,2.26,1.67,1.11,5.39,0.43,25.36,0.9,2.01,1,19.46,0,17.0,101.0,24.59,Low,-1,0,0,0,0.5997566180344747
34,41093.56,8.9,89.0,2.32,2.15,2.08,2.66,1.48,6.55,0.69,43.13,1.41,0.57,0,18.47,0,12.0,72.0,57.43,High,1,0,1,0,0.7359549734882053
21,44876.38,8.41,65.0,1.27,1.61,3.31,1.67,3.04,6.14,0.83,4.91,0.9,1.02,0,35.28,0,16.0,138.0,68.58,Moderate,-1,0,0,1,0.7360284499371641
27,29236.73,8.26,106.0,2.57,1.35,2.55,1.12,0.56,7.03,1.95,27.65,1.72,0.63,0,25.08,1,16.0,66.0,88.64,Low,3,0,1,1,0.7832928833785856
26,25909.89,6.67,54.0,0.56,1.65,3.22,1.31,2.0149999999999997,7.0,1.02,51.23,1.63,0.81,0,15.88,0,18.0,162.0,38.38,Moderate,2,1,0,1,0.8140928314703401
25,27005.21,7.89,114.0,3.11,1.68,1.23,0.44,1.52,7.34,1.66,31.08,1.69,0.63,1,26.06,1,17.0,98.0,13.18,Low,1,0,0,1,0.7629910313065866
26,31348.015,5.48,80.0,3.23,1.51,1.53,1.04,1.57,6.39,1.83,8.37,1.08,0.12,1,25.91,1,19.0,110.0,0.41,High,1,1,0,0,1.1441603751532161
27,32200.47,3.0,98.0,2.37,2.06,2.47,1.54,1.41,6.36,1.12,74.79,2.31,0.84,1,19.25,1,16.0,72.0,44.59,High,3,0,0,1,2.299999233333589
25,40510.6,10.7,119.0,2.02,2.14,1.88,2.04,2.63,5.83,1.12,53.4,1.95,0.66,0,16.93,1,8.0,40.0,90.3,High,0,1,0,0,0.5644859285527171
27,22779.68,4.63,73.0,1.68,3.19,2.61,1.11,1.98,7.19,0.84,0.15,0.18,0.34,0,6.92,0,16.0,112.0,14.27,High,3,1,0,1,1.6155504070085516
33,45692.2,6.05,60.0,1.53,1.89,0.97,1.21,3.6,6.99,1.11,95.36,1.02,0.46,1,20.22,1,13.0,97.0,0.38,Moderate,2,0,1,0,0.7256197147736008
34,15486.08,7.91,101.0,1.57,2.14,3.36,1.07,1.56,7.65,0.94,29.2,0.9,0.79,1,23.4,1,11.0,70.0,56.17,High,-1,0,1,0,0.8938051967376489
28,43857.34,2.63,93.0,1.01,2.15,3.54,0.81,1.21,6.34,1.61,28.45,0.97,0.81,1,16.62,1,14.0,92.0,95.76,Moderate,3,0,1,0,2.547527548468613
25,46955.64,4.77,73.0,0.5,0.86,2.49,1.64,0.82,6.9,1.66,0.62,1.0,0.47,1,34.96,0,9.0,113.0,47.4,High,1,0,1,1,0.8071277133904166
35,28106.1,5.06,27.0,0.94,2.2,3.33,1.7,2.7,4.99,2.39,77.63,2.07,0.81,0,17.91,0,8.0,109.0,95.63,Low,1,0,0,0,1.2786558737834244
29,29295.34,5.89,123.0,2.37,2.2,2.29,1.46,0.8,7.39,1.36,89.18,1.6,0.33,1,27.76,0,14.0,103.0,7.03,Low,3,1,0,1,1.1646857105796757
30,39260.66,7.41,75.0,1.35,2.02,3.27,2.34,0.47,6.01,0.76,84.92,0.37,0.95,0,17.46,0,20.0,116.0,68.35,Moderate,1,0,0,0,0.896086248841262
35,19768.26,9.19,74.0,1.55,0.75,1.73,1.47,2.05,6.46,1.35,63.89,0.88,1.14,0,26.49,0,10.0,88.0,85.0,Moderate,2,0,1,0,0.438520082859621
33,52861.39,4.85,41.0,0.92,0.41,1.48,1.28,1.46,5.6,1.0,25.13,2.54,2.32,0,21.97,1,15.0,77.0,70.23,Low,1,1,0,0,0.5793813238389023
32,25216.21,6.76,53.0,2.96,1.89,2.97,1.0,1.65,5.81,1.13,7.49,0.68,1.59,1,20.35,0,9.0,112.0,70.46,High,3,0,1,0,1.1568045626028753
26,32304.61,7.29,74.0,1.11,1.4,1.1,2.22,1.51,6.74,1.4,88.44,2.9,0.81,0,1.19,0,19.0,86.0,76.95,High,2,0,1,0,0.4951988346778004
24,35067.4,5.12,78.0,1.9,0.65,0.98,1.22,1.4,4.24,0.59,45.11,2.02,1.03,0,36.16,0,17.0,134.0,60.55,High,0,0,1,0,0.6894529903412128
22,33357.34,4.51,84.0,0.68,1.64,1.01,1.01,1.16,6.16,0.41,22.67,1.48,1.22,0,26.84,1,20.0,104.0,25.46,High,1,1,0,0,0.738359038057863
22,23170.21,4.49,78.0,2.24,1.87,0.88,1.54,2.07,5.46,0.73,8.75,0.41,0.42,0,34.31,1,9.0,134.0,74.59,Moderate,2,1,0,0,1.1113583270916865
27,40601.36,6.27,36.0,2.75,2.35,2.98,1.77,0.83,7.0,2.25,89.13,1.45,1.38,0,34.61,1,12.0,174.0,12.45,High,-1,0,1,1,1.2886760305141898
26,49091.85,6.3,53.0,1.96,1.89,4.86,1.52,2.34,6.13,0.87,33.97,1.13,0.39,1,37.23,0,19.0,119.0,31.41,High,3,0,0,1,1.3825394630889742
32,34189.61,4.41,71.0,1.84,3.11,2.43,0.73,0.97,4.85,1.86,26.48,1.28,0.81,1,37.3,1,10.0,69.0,33.97,Moderate,1,1,0,1,1.6734690082836716
25,32779.22,1.13,90.0,1.57,0.96,2.085,2.32,1.49,7.26,1.16,68.74,1.1,1.27,1,16.34,0,9.0,55.0,4.22,Low,0,0,1,1,3.0
25,41994.14,6.46,88.0,1.76,3.61,0.43,1.59,3.14,5.93,0.53,54.37,2.14,1.14,1,34.45,1,19.0,69.0,17.12,High,1,1,0,0,0.8978326783540745
29,33751.81,8.05,98.0,1.32,1.64,2.44,1.71,1.29,6.82,0.7,71.29,1.32,0.84,1,31.44,1,9.0,37.0,99.78,High,-1,0,0,1,0.6708073700860411
24,15656.53,9.21,107.0,1.76,0.59,2.94,0.98,2.55,5.1,1.29,98.77,0.85,0.27,0,25.04,1,8.0,43.0,74.74,High,-1,0,0,0,0.5743756162458614
22,15550.13,9.09,85.0,1.68,2.39,2.1,1.43,0.88,7.63,0.71,34.2,2.48,0.78,0,25.43,1,8.0,104.0,36.87,Moderate,0,1,0,0,0.6787678021157534
29,34984.59,5.64,78.0,1.89,0.62,2.24,1.81,1.29,6.76,1.62,26.18,2.93,0.89,0,15.18,0,16.0,24.0,12.36,Moderate,2,0,0,0,0.8421984322343206
34,48382.28,5.75,66.0,3.73,1.69,1.67,2.12,3.99,5.13,2.37,67.19,1.34,0.92,0,26.32,0,17.0,177.0,79.17,High,-1,0,0,0,1.2330432638185627
33,51295.45,9.96,85.0,3.02,3.02,2.95,1.48,2.0149999999999997,6.5,1.53,66.41,1.47,1.21,0,22.72,1,13.0,87.0,26.38,High,-1,0,0,1,0.902610351143539
32,32008.2,9.66,78.0,2.37,0.5,3.57,0.88,0.12,6.46,1.08,34.22,1.2,0.15,1,23.64,0,13.0,138.0,67.67,Moderate,1,0,1,1,0.6666665976535613
34,16040.73,9.49,84.0,1.44,1.83,4.36,2.03,0.58,5.52,0.47,7.04,1.44,0.75,1,39.73,1,19.0,62.0,69.51,Moderate,2,0,0,1,0.8040041302419253
21,15756.2,4.12,56.0,4.09,1.64,1.94,2.08,4.3,6.02,0.03,14.0,1.06,1.35,1,19.13,0,16.0,127.0,93.08,High,0,1,0,1,1.8616500335800887
25,17222.09,8.23,83.0,2.13,0.94,0.7,2.0,1.44,7.14,1.0,54.77,1.19,0.96,0,25.55,1,15.0,87.0,61.08,High,2,1,0,0,0.45808013875089443
30,38952.94,8.17,93.0,2.75,1.38,2.45,1.24,3.14,7.74,0.39,99.37,0.16,0.18,1,29.78,0,18.0,115.0,28.47,Moderate,2,0,0,1,0.8053854583371532
23,27134.06,3.4,81.0,1.37,1.81,1.5,1.48,1.49,6.33,1.38,58.76,1.94,1.07,1,26.7,1,13.0,82.0,77.26,High,-1,0,0,0,1.3764701833911224
21,18164.18,6.99,106.0,2.73,0.44,1.77,1.22,2.45,4.95,0.91,47.37,1.63,0.81,0,34.74,1,8.0,53.0,25.95,High,-1,1,0,0,0.7067237901682702
22,39961.76,6.22,83.0,2.53,0.79,3.23,2.03,1.75,6.12,1.63,47.55,2.22,1.16,0,24.15,1,15.0,83.0,64.0,High,2,0,1,1,1.0530544930780559
19,19949.92,2.92,69.0,2.58,0.66,2.48,0.62,2.28,7.4,0.33,52.72,1.48,1.19,0,13.35,0,20.0,91.0,41.88,Low,-1,1,0,1,1.9589034387316993
18,22295.43,9.57,82.0,2.31,2.39,0.9,1.81,2.2,6.03,1.01,60.99,1.96,1.09,0,25.28,1,8.0,101.0,40.14,High,2,0,1,0,0.5851619033268649
20,26545.74,3.07,94.0,1.34,1.88,4.27,1.98,1.34,7.06,0.63,17.53,0.66,1.7,1,34.87,0,15.0,79.0,47.79,Moderate,1,1,0,1,2.4397386189776484
20,48789.08,4.87,111.0,1.61,4.19,0.69,1.02,1.18,6.47,0.9,45.41,0.05,0.89,0,20.82,0,16.0,68.0,16.84,High,2,1,0,0,1.3326485969920745
33,36931.46,4.43,59.0,2.37,0.01,0.91,1.58,1.0,6.01,1.68,8.98,1.48,0.56,1,31.44,0,10.0,86.0,90.54,High,-1,0,1,1,0.7426634892407474
20,18914.52,6.88,100.0,1.79,2.03,2.24,1.44,2.04,7.01,0.83,16.32,1.48,1.38,1,42.19,0,15.0,91.0,83.64,High,0,0,0,1,0.8808138254631068
32,59172.98,4.24,108.0,1.58,1.46,2.74,1.84,2.34,6.89,1.44,49.83,1.34,0.72,1,16.22,0,17.0,121.0,70.03,High,-1,1,0,0,1.3632072256586731
19,28782.77,6.94,55.0,3.99,1.52,1.96,0.09,1.33,7.94,0.44,36.77,1.53,0.96,0,10.57,0,10.0,88.0,44.88,Low,1,0,1,0,1.076368720984334
29,35281.99,6.25,100.0,0.78,0.4,2.25,2.07,2.37,6.8,1.03,19.37,2.19,0.94,0,28.0,1,20.0,107.0,65.09,High,1,0,0,0,0.5487999121920141
24,15633.17,6.52,64.0,0.82,0.62,2.22,1.67,1.77,6.42,0.56,63.65,1.75,0.48,0,27.89,0,17.0,105.0,62.32,Low,-1,0,0,1,0.5613496071549683
18,36604.21,4.76,70.0,3.6,2.6,3.0,1.87,3.74,5.31,1.13,1.57,0.31,0.08,1,39.59,0,19.0,50.0,65.84,High,3,1,0,1,1.9327727031990118
19,33536.12,7.27,85.0,4.79,0.65,1.52,1.41,1.39,6.45,0.92,95.99,1.82,0.21,1,40.19,1,15.0,157.0,76.49,High,2,0,1,0,0.9573588779423828
